,loan_identifier,seller_name,original_interest_rate,original_upb,origination_date,first_payment_date,number_of_borrowers,original_dir,borrower_credit_score_at_origination,first_time_home_buyer_indicator,loan_purpose,property_type,number_of_units,occupancy_type,property_state,primary_mortgage_insurance_percent,product_type,current_interest_rate,remaining_months_to_legal_maturity,adj_remaining_months_to_maturity,maturity_date,current_loan_delinquency_status,delinquency
10411,131362000000,OTHER,5,223000,2019-03-01,2019-05-01,2,29,688,Y,P,PU,1,P,NJ,35,FRM,4.75,352,352,2049-04-01,0,f
10412,131362000000,PENNYMAC CORP.,5,141000,2019-03-01,2019-05-01,1,45,718,Y,P,SF,1,P,AZ,35,FRM,4.88,352,352,2049-04-01,0,f
10413,131365000000,"WELLS FARGO BANK, N.A.",5,421000,2019-01-01,2019-03-01,1,42,815,N,P,PU,1,P,OH,25,FRM,4.75,356,0,2049-02-01,X,t
10416,131381000000,"WELLS FARGO BANK, N.A.",5,461000,2019-01-01,2019-03-01,2,36,775,Y,P,SF,1,P,CT,30,FRM,5,350,349,2049-02-01,0,f
10417,131381000000,PENNYMAC CORP.,5,275000,2019-01-01,2019-03-01,2,35,792,Y,P,SF,1,P,TN,30,FRM,4.95,350,350,2049-02-01,0,f
10418,131387000000,"FLAGSTAR BANK, FSB",5,371000,2019-01-01,2019-03-01,2,45,730,Y,P,CO,1,P,NJ,30,FRM,5.13,352,0,2049-02-01,X,t
10420,131390000000,FREEDOM MORTGAGE CORP.,5,655000,2019-01-01,2019-03-01,2,43,716,Y,P,CO,1,P,HI,30,FRM,5,350,350,2049-02-01,0,f
10421,131390000000,"WELLS FARGO BANK, N.A.",4,257000,2019-01-01,2019-03-01,1,22,672,Y,P,PU,1,P,TX,25,FRM,4.13,350,350,2049-02-01,0,f
10422,131392000000,"WELLS FARGO BANK, N.A.",5,372000,2018-12-01,2019-02-01,1,36,797,Y,P,CO,1,P,VA,12,FRM,4.75,354,0,2049-01-01,X,t
10427,131415000000,OTHER,5,310000,2019-02-01,2019-04-01,2,50,753,N,P,CO,1,S,FL,25,FRM,4.75,351,350,2049-03-01,0,f
10430,131418000000,OTHER,5,115000,2019-01-01,2019-03-01,2,30,683,Y,P,SF,1,P,IL,30,FRM,5.13,350,350,2049-02-01,0,f
10435,131435000000,OTHER,5,435000,2019-01-01,2019-03-01,1,46,704,N,P,PU,1,P,CO,30,FRM,5,350,0,2049-02-01,X,t
10436,131438000000,OTHER,5,309000,2018-12-01,2019-02-01,2,38,764,N,P,SF,1,P,MA,30,FRM,4.75,349,349,2049-01-01,0,f
10438,131444000000,OTHER,5,347000,2019-01-01,2019-03-01,2,37,777,N,P,CO,1,P,CA,30,FRM,4.75,352,0,2049-02-01,X,t
10439,131444000000,"WELLS FARGO BANK, N.A.",5,240000,2019-01-01,2019-03-01,1,40,779,Y,P,SF,1,P,IN,25,FRM,4.63,350,349,2049-02-01,0,f
10444,131464000000,OTHER,5,388000,2018-12-01,2019-02-01,2,47,739,Y,P,CO,1,P,HI,25,FRM,4.88,349,349,2049-01-01,0,f
10445,131466000000,"WELLS FARGO BANK, N.A.",5,262000,2018-11-01,2019-01-01,1,36,797,Y,P,SF,1,P,PA,25,FRM,4.88,348,348,2048-12-01,0,f
10447,131471000000,OTHER,5,207000,2019-02-01,2019-04-01,1,20,741,Y,P,CO,1,P,IN,30,FRM,4.75,351,350,2049-03-01,0,f
10448,131473000000,OTHER,5,163000,2019-03-01,2019-05-01,1,37,690,Y,P,PU,1,P,IN,25,FRM,4.63,352,352,2049-04-01,0,f
10458,131516000000,U.S. BANK N.A.,5,184000,2018-12-01,2019-02-01,1,48,755,Y,P,SF,1,P,MN,18,FRM,5.38,349,349,2049-01-01,0,f
10464,131537000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,271000,2019-02-01,2019-04-01,2,13,778,Y,P,SF,1,P,DE,12,FRM,4.63,351,351,2049-03-01,0,f
10465,131541000000,"WELLS FARGO BANK, N.A.",5,310000,2018-12-01,2019-02-01,2,39,746,Y,P,PU,1,P,SC,25,FRM,4.99,349,337,2049-01-01,0,f
10474,131568000000,OTHER,4,90000,2019-03-01,2019-05-01,1,45,741,Y,P,SF,1,P,OH,25,FRM,4.4,352,351,2049-04-01,0,f
10476,131578000000,QUICKEN LOANS INC.,5,608000,2018-12-01,2019-02-01,1,43,768,Y,P,SF,1,P,CA,30,FRM,4.75,349,349,2049-01-01,0,f
10479,131582000000,OTHER,5,160000,2019-03-01,2019-05-01,2,47,732,Y,P,SF,1,P,FL,30,FRM,4.88,352,346,2049-04-01,0,f
10487,131607000000,QUICKEN LOANS INC.,5,206000,2019-02-01,2019-04-01,1,15,770,Y,P,PU,1,P,NC,30,FRM,4.5,351,351,2049-03-01,0,f
10493,131615000000,OTHER,5,315000,2019-03-01,2019-05-01,1,42,705,N,P,PU,1,P,WA,25,FRM,4.88,352,352,2049-04-01,0,f
10495,131619000000,OTHER,5,240000,2018-12-01,2019-02-01,2,33,757,Y,P,SF,1,P,GA,25,FRM,4.88,349,343,2049-01-01,0,f
10508,131651000000,OTHER,5,89000,2018-12-01,2019-02-01,1,39,735,Y,P,SF,1,P,IA,6,FRM,5,349,349,2049-01-01,0,f
10516,131663000000,"WELLS FARGO BANK, N.A.",5,371000,2018-12-01,2019-02-01,1,45,777,N,P,SF,1,P,IL,30,FRM,4.99,349,349,2049-01-01,0,f
10521,131671000000,OTHER,4,294000,2018-08-01,2018-10-01,2,26,800,N,R,SF,1,P,OH,30,FRM,4.38,345,343,2048-09-01,0,f
10522,131672000000,OTHER,5,125000,2018-12-01,2019-02-01,1,45,735,Y,P,CO,1,P,SC,25,FRM,4.88,349,349,2049-01-01,0,f
10523,131674000000,U.S. BANK N.A.,5,472000,2018-12-01,2019-02-01,2,50,779,Y,P,SF,1,P,NJ,12,FRM,4.63,349,0,2049-01-01,X,t
10524,131674000000,OTHER,5,136000,2019-03-01,2019-05-01,1,34,789,Y,P,SF,1,P,IL,30,FRM,4.75,352,351,2049-04-01,0,f
10526,131683000000,"LAKEVIEW LOAN SERVICING, LLC",5,123000,2019-02-01,2019-04-01,1,45,694,N,P,CO,1,P,GA,30,FRM,4.88,351,351,2049-03-01,0,f
10527,131683000000,PENNYMAC CORP.,5,251000,2019-01-01,2019-03-01,2,37,791,N,P,SF,1,P,PA,25,FRM,4.99,352,0,2049-02-01,X,t
10532,131702000000,OTHER,5,179000,2019-03-01,2019-05-01,2,38,763,N,R,SF,1,P,LA,30,FRM,4.88,352,351,2049-04-01,0,f
10533,131707000000,OTHER,5,240000,2019-03-01,2019-05-01,1,49,766,N,P,SF,1,P,UT,25,FRM,4.88,353,0,2049-04-01,X,t
10538,131724000000,"WELLS FARGO BANK, N.A.",5,305000,2019-02-01,2019-04-01,2,42,675,N,P,PU,1,P,MO,30,FRM,4.75,351,350,2049-03-01,0,f
10541,131744000000,PENNYMAC CORP.,5,342000,2019-02-01,2019-04-01,2,39,743,N,P,PU,1,P,FL,30,FRM,5.25,351,351,2049-03-01,0,f
10543,131748000000,OTHER,6,163000,2019-01-01,2019-03-01,1,42,739,N,P,PU,1,I,SC,12,FRM,6.13,350,340,2049-02-01,0,f
10546,131755000000,OTHER,4,420000,2019-01-01,2019-03-01,1,41,803,N,R,PU,1,P,WA,6,FRM,4.25,170,170,2034-02-01,0,f
10547,131756000000,"WELLS FARGO BANK, N.A.",5,83000,2019-01-01,2019-03-01,1,32,751,Y,P,SF,1,P,AL,12,FRM,4.63,350,350,2049-02-01,0,f
10548,131757000000,"WELLS FARGO BANK, N.A.",6,162000,2018-12-01,2019-02-01,2,50,757,Y,P,SF,1,P,FL,25,FRM,5.63,349,347,2049-01-01,0,f
10549,131763000000,"WELLS FARGO BANK, N.A.",5,248000,2018-11-01,2019-01-01,2,34,759,N,R,SF,1,P,CA,25,FRM,4.75,349,0,2048-12-01,X,t
10555,131780000000,OTHER,5,197000,2018-12-01,2019-02-01,2,19,789,N,P,SF,1,S,WI,25,FRM,4.88,349,349,2049-01-01,0,f
10559,131788000000,U.S. BANK N.A.,6,118000,2018-11-01,2019-01-01,1,44,775,Y,P,SF,1,P,OH,18,FRM,5.88,348,348,2048-12-01,0,f
10560,131790000000,OTHER,5,356000,2018-12-01,2019-02-01,1,39,792,N,P,SF,1,P,MD,30,FRM,4.88,349,348,2049-01-01,0,f
10561,131792000000,"WELLS FARGO BANK, N.A.",5,387000,2018-12-01,2019-02-01,2,48,765,Y,P,SF,1,P,FL,25,FRM,4.88,349,344,2049-01-01,0,f
10562,131794000000,QUICKEN LOANS INC.,5,161000,2019-02-01,2019-04-01,2,45,682,Y,P,SF,1,P,WA,35,FRM,4.5,351,351,2049-03-01,0,f
10565,131796000000,"LAKEVIEW LOAN SERVICING, LLC",6,116000,2019-01-01,2019-03-01,1,47,726,Y,P,SF,1,P,TX,18,FRM,5.5,350,345,2049-02-01,0,f
10566,131800000000,PENNYMAC CORP.,5,353000,2019-01-01,2019-03-01,2,36,785,Y,P,SF,1,P,UT,30,FRM,4.75,350,350,2049-02-01,0,f
10567,131803000000,QUICKEN LOANS INC.,5,97000,2018-10-01,2018-12-01,2,40,714,N,P,SF,1,P,TN,30,FRM,4.99,347,340,2048-11-01,0,f
10569,131807000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,135000,2019-01-01,2019-03-01,1,27,780,Y,P,SF,1,P,IN,25,FRM,4.75,350,350,2049-02-01,0,f
10574,131811000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,342000,2018-12-01,2019-02-01,1,48,712,N,P,PU,1,P,FL,30,FRM,5.13,351,0,2049-01-01,X,t
10575,131816000000,OTHER,5,242000,2019-03-01,2019-05-01,1,49,762,Y,P,CO,1,P,NH,25,FRM,4.5,352,352,2049-04-01,0,f
10579,131829000000,"FLAGSTAR BANK, FSB",5,432000,2018-11-01,2019-01-01,2,49,786,Y,P,SF,1,P,CA,30,FRM,5.25,348,348,2048-12-01,0,f
10585,131843000000,OTHER,5,290000,2019-01-01,2019-03-01,1,38,796,Y,P,PU,1,P,CA,12,FRM,4.5,350,0,2049-02-01,X,t
10586,131847000000,"WELLS FARGO BANK, N.A.",5,187000,2019-01-01,2019-03-01,1,39,750,Y,P,PU,1,P,MD,25,FRM,4.88,350,350,2049-02-01,0,f
10587,131851000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,314000,2018-12-01,2019-02-01,1,46,747,Y,P,SF,1,P,CA,30,FRM,5,349,349,2049-01-01,0,f
