,loan_identifier,seller_name,original_interest_rate,original_upb,origination_date,first_payment_date,number_of_borrowers,original_dir,borrower_credit_score_at_origination,first_time_home_buyer_indicator,loan_purpose,property_type,number_of_units,occupancy_type,property_state,primary_mortgage_insurance_percent,product_type,current_interest_rate,remaining_months_to_legal_maturity,adj_remaining_months_to_maturity,maturity_date,current_loan_delinquency_status,delinquency
19788,159472000000,"WELLS FARGO BANK, N.A.",5,254000,2018-10-01,2018-12-01,1,48,720,N,P,PU,1,P,SC,25,FRM,5,357,0,2048-11-01,X,t
19789,159474000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,139000,2018-12-01,2019-02-01,1,49,693,Y,P,PU,1,P,NC,25,FRM,5.1,349,349,2049-01-01,0,f
19790,159477000000,"WELLS FARGO BANK, N.A.",5,104000,2019-01-01,2019-03-01,1,26,722,Y,P,SF,1,P,NC,25,FRM,4.88,350,350,2049-02-01,0,f
19794,159506000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,179000,2018-10-01,2018-12-01,1,38,763,Y,P,PU,1,P,CO,25,FRM,4.75,349,0,2048-11-01,X,t
19795,159513000000,TRUIST BANK (FORMERLY SUNTRUST BANK),6,226000,2018-11-01,2019-01-01,2,38,778,N,P,CO,1,I,TX,12,FRM,5.63,348,348,2048-12-01,0,f
19797,159514000000,OTHER,5,264000,2019-02-01,2019-04-01,1,40,803,N,P,PU,1,P,FL,25,FRM,4.88,351,351,2049-03-01,0,f
19798,159515000000,"WELLS FARGO BANK, N.A.",5,342000,2018-12-01,2019-02-01,2,47,783,N,P,PU,1,P,PA,30,FRM,5.25,357,0,2049-01-01,X,t
19799,159518000000,"LAKEVIEW LOAN SERVICING, LLC",5,241000,2018-12-01,2019-02-01,1,28,718,Y,P,CO,1,P,FL,35,FRM,5.38,349,347,2049-01-01,0,f
19802,159520000000,OTHER,5,184000,2018-09-01,2018-11-01,1,49,702,Y,P,SF,1,P,OH,25,FRM,5.38,346,345,2048-10-01,0,f
19804,159522000000,OTHER,5,315000,2019-01-01,2019-03-01,1,49,763,Y,P,SF,1,P,NH,25,FRM,4.88,350,349,2049-02-01,0,f
19807,159534000000,OTHER,5,379000,2018-12-01,2019-02-01,2,34,794,N,P,PU,1,P,OK,30,FRM,4.88,354,0,2049-01-01,X,t
19811,159542000000,OTHER,5,432000,2019-01-01,2019-03-01,1,45,739,N,P,SF,1,P,CO,30,FRM,4.88,350,350,2049-02-01,0,f
19813,159548000000,"WELLS FARGO BANK, N.A.",5,113000,2018-11-01,2019-01-01,1,43,792,N,P,PU,1,P,MO,25,FRM,5,350,0,2048-12-01,X,t
19815,159550000000,OTHER,6,481000,2018-12-01,2019-02-01,1,43,699,N,P,PU,1,P,TX,12,FRM,5.63,349,349,2049-01-01,0,f
19816,159555000000,FREEDOM MORTGAGE CORP.,5,288000,2018-12-01,2019-02-01,1,40,713,Y,P,SF,1,P,CT,25,FRM,5.25,349,349,2049-01-01,0,f
19818,159557000000,U.S. BANK N.A.,5,76000,2018-09-01,2018-11-01,2,31,653,Y,P,SF,1,P,IL,16,FRM,5.38,346,331,2048-10-01,0,f
19820,159562000000,OTHER,5,57000,2018-12-01,2019-02-01,1,41,742,Y,P,SF,1,P,SD,16,FRM,5.13,349,341,2049-01-01,0,f
19823,159567000000,"FLAGSTAR BANK, FSB",6,267000,2018-12-01,2019-02-01,2,35,630,Y,P,SF,1,P,MA,35,FRM,6.13,349,349,2049-01-01,0,f
19824,159567000000,OTHER,5,135000,2019-03-01,2019-05-01,1,29,750,Y,P,SF,1,P,MI,25,FRM,4.88,352,351,2049-04-01,0,f
19825,159571000000,OTHER,5,124000,2019-03-01,2019-05-01,2,42,732,N,P,SF,1,P,WI,30,FRM,4.75,352,341,2049-04-01,0,f
19833,159597000000,OTHER,5,269000,2019-03-01,2019-05-01,2,39,712,Y,P,PU,1,P,ID,30,FRM,4.88,352,352,2049-04-01,0,f
19836,159603000000,FREEDOM MORTGAGE CORP.,5,165000,2018-12-01,2019-02-01,1,40,778,N,P,SF,1,P,OK,30,FRM,4.99,349,349,2049-01-01,0,f
19843,159644000000,OTHER,5,295000,2019-01-01,2019-03-01,1,37,709,N,P,CO,1,S,NC,25,FRM,5.38,350,341,2049-02-01,0,f
19850,159675000000,OTHER,5,409000,2018-11-01,2019-01-01,2,39,763,N,P,SF,1,P,NY,30,FRM,4.75,348,344,2048-12-01,0,f
19851,159678000000,PENNYMAC CORP.,5,125000,2018-12-01,2019-02-01,2,46,721,Y,P,SF,1,P,FL,25,FRM,5,349,349,2049-01-01,0,f
19852,159683000000,PENNYMAC CORP.,5,181000,2019-03-01,2019-05-01,1,21,776,Y,P,SF,1,P,VA,30,FRM,4.99,352,352,2049-04-01,0,f
19853,159688000000,U.S. BANK N.A.,7,161000,2018-11-01,2019-01-01,2,42,649,Y,P,CO,1,P,NV,16,FRM,6.5,348,348,2048-12-01,0,f
19855,159690000000,PENNYMAC CORP.,5,195000,2018-12-01,2019-02-01,2,38,708,Y,P,PU,1,P,MD,30,FRM,5,349,349,2049-01-01,0,f
19856,159690000000,"MOVEMENT MORTGAGE, LLC",5,136000,2019-01-01,2019-03-01,1,43,742,Y,P,PU,1,P,GA,25,FRM,4.75,350,349,2049-02-01,0,f
19861,159711000000,OTHER,5,114000,2018-12-01,2019-02-01,1,39,679,Y,P,CO,1,P,MI,25,FRM,5.25,349,349,2049-01-01,0,f
19862,159712000000,U.S. BANK N.A.,6,41000,2019-01-01,2019-03-01,1,34,786,Y,P,SF,1,P,IL,16,FRM,5.63,350,350,2049-02-01,0,f
19864,159715000000,"WELLS FARGO BANK, N.A.",5,341000,2019-01-01,2019-03-01,2,41,801,N,P,PU,1,P,NC,30,FRM,4.88,350,350,2049-02-01,0,f
19866,159720000000,U.S. BANK N.A.,6,135000,2018-10-01,2018-12-01,1,43,729,Y,P,SF,1,P,IL,16,FRM,5.75,347,338,2048-11-01,0,f
19869,159730000000,OTHER,5,333000,2018-12-01,2019-02-01,2,31,772,Y,P,SF,1,P,UT,30,FRM,4.75,349,344,2049-01-01,0,f
19870,159730000000,OTHER,4,162000,2019-02-01,2019-04-01,1,44,697,Y,P,SF,1,P,OH,25,FRM,4.38,351,351,2049-03-01,0,f
19871,159731000000,OTHER,5,247000,2018-11-01,2019-01-01,1,46,687,Y,P,SF,1,P,MA,18,FRM,5.13,351,0,2048-12-01,X,t
19872,159742000000,"LAKEVIEW LOAN SERVICING, LLC",6,179000,2018-10-01,2018-12-01,1,44,745,Y,P,SF,1,P,CA,18,FRM,5.63,347,346,2048-11-01,0,f
19874,159745000000,OTHER,6,81000,2019-02-01,2019-04-01,2,28,773,N,P,MH,1,S,OH,25,FRM,5.5,351,335,2049-03-01,0,f
19877,159755000000,"WELLS FARGO BANK, N.A.",5,295000,2019-02-01,2019-03-01,2,24,807,Y,P,CO,1,P,IL,25,FRM,4.88,353,0,2049-02-01,X,t
19878,159758000000,OTHER,5,333000,2019-01-01,2019-03-01,2,47,744,N,P,PU,1,P,TX,30,FRM,4.88,350,350,2049-02-01,0,f
19886,159791000000,OTHER,5,299000,2019-01-01,2019-03-01,1,28,714,N,P,SF,1,P,VA,30,FRM,4.75,350,350,2049-02-01,0,f
19892,159814000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,171000,2019-01-01,2019-03-01,1,41,755,Y,P,SF,1,P,TN,30,FRM,4.88,350,350,2049-02-01,0,f
19893,159816000000,TRUIST BANK (FORMERLY SUNTRUST BANK),5,215000,2019-01-01,2019-03-01,2,46,678,Y,P,SF,1,P,GA,35,FRM,5.25,350,349,2049-02-01,0,f
19896,159820000000,"WELLS FARGO BANK, N.A.",5,178000,2018-12-01,2019-02-01,1,44,806,Y,P,PU,1,P,FL,30,FRM,4.63,349,349,2049-01-01,0,f
19898,159822000000,OTHER,5,201000,2018-12-01,2019-02-01,1,38,781,N,P,PU,1,P,IN,30,FRM,5.13,349,348,2049-01-01,0,f
19899,159825000000,"WELLS FARGO BANK, N.A.",5,199000,2018-11-01,2019-01-01,1,41,810,Y,P,PU,1,P,MD,25,FRM,4.88,350,0,2048-12-01,X,t
19904,159849000000,OTHER,5,209000,2019-01-01,2019-03-01,1,50,780,Y,P,CO,1,P,AZ,25,FRM,5.38,350,350,2049-02-01,0,f
19905,159853000000,OTHER,5,259000,2018-12-01,2019-02-01,2,37,769,N,P,SF,1,P,TX,25,FRM,5.25,349,349,2049-01-01,0,f
19908,159861000000,"MOVEMENT MORTGAGE, LLC",5,250000,2019-02-01,2019-04-01,1,34,758,N,P,PU,1,P,TX,30,FRM,4.63,351,350,2049-03-01,0,f
19909,159861000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4,297000,2019-02-01,2019-04-01,2,17,780,N,P,SF,1,P,WI,25,FRM,4.49,351,345,2049-03-01,0,f
19912,159865000000,OTHER,4,167000,2019-03-01,2019-05-01,2,48,757,N,P,SF,1,S,NJ,25,FRM,4.25,352,352,2049-04-01,0,f
19919,159885000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,371000,2019-01-01,2019-03-01,2,41,781,N,P,PU,1,S,AZ,25,FRM,4.88,350,350,2049-02-01,0,f
19921,159895000000,OTHER,5,413000,2019-02-01,2019-04-01,1,41,754,Y,P,SF,1,P,CA,35,FRM,5.13,351,351,2049-03-01,0,f
19922,159896000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,136000,2019-01-01,2019-03-01,1,32,743,N,R,CO,1,P,DE,30,FRM,5.38,350,348,2049-02-01,0,f
19924,159898000000,OTHER,5,105000,2019-02-01,2019-04-01,1,41,720,N,P,SF,1,P,WI,25,FRM,4.88,351,351,2049-03-01,0,f
19926,159907000000,OTHER,5,153000,2018-12-01,2019-02-01,1,33,798,Y,P,SF,1,P,WI,12,FRM,5,349,348,2049-01-01,0,f
19927,159907000000,QUICKEN LOANS INC.,5,395000,2018-12-01,2019-02-01,2,42,733,N,P,PU,1,P,AZ,30,FRM,4.99,350,0,2049-01-01,X,t
19928,159910000000,PENNYMAC CORP.,5,479000,2019-03-01,2019-04-01,2,33,698,N,P,PU,1,P,GA,25,FRM,4.99,351,350,2049-03-01,0,f
19929,159914000000,OTHER,5,141000,2018-12-01,2019-02-01,1,37,726,Y,P,SF,1,P,VA,18,FRM,5.13,349,349,2049-01-01,0,f
19931,159921000000,"MOVEMENT MORTGAGE, LLC",5,137000,2019-01-01,2019-03-01,1,33,751,Y,P,SF,1,P,NC,25,FRM,4.75,350,349,2049-02-01,0,f
19932,159922000000,"EAGLE HOME MORTGAGE, LLC",5,333000,2019-02-01,2019-04-01,1,27,742,Y,P,PU,1,P,IN,30,FRM,4.63,351,351,2049-03-01,0,f
19933,159923000000,QUICKEN LOANS INC.,4,425000,2019-03-01,2019-05-01,2,45,774,N,P,PU,1,P,NC,25,FRM,4.38,357,0,2049-04-01,X,t
19937,159934000000,PENNYMAC CORP.,5,228000,2018-12-01,2019-02-01,1,28,757,Y,P,SF,1,P,NC,35,FRM,5.25,349,344,2049-01-01,0,f
19938,159936000000,OTHER,5,256000,2018-12-01,2019-02-01,1,46,718,Y,P,SF,1,P,WI,25,FRM,4.75,349,346,2049-01-01,0,f
19945,159956000000,"WELLS FARGO BANK, N.A.",5,245000,2019-02-01,2019-04-01,2,19,768,N,P,PU,1,P,MS,30,FRM,4.63,351,351,2049-03-01,0,f
19946,159957000000,OTHER,5,92000,2019-02-01,2019-04-01,1,18,743,Y,P,SF,1,P,WI,25,FRM,4.5,351,332,2049-03-01,0,f
19949,159969000000,PENNYMAC CORP.,5,239000,2018-12-01,2019-02-01,2,37,714,Y,P,SF,1,P,MN,30,FRM,5.38,349,349,2049-01-01,0,f
19951,159975000000,OTHER,5,98000,2018-12-01,2019-02-01,1,37,696,Y,P,SF,1,P,MI,25,FRM,5.13,349,349,2049-01-01,0,f
19954,159981000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,626000,2019-02-01,2019-04-01,2,46,727,Y,P,SF,1,P,MA,30,FRM,4.75,351,351,2049-03-01,0,f
19956,159982000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,219000,2018-11-01,2019-01-01,1,33,748,N,P,SF,1,P,TN,30,FRM,4.88,348,338,2048-12-01,0,f
19960,159988000000,OTHER,5,448000,2018-10-01,2018-12-01,2,41,781,Y,P,SF,1,P,CT,30,FRM,4.63,347,347,2048-11-01,0,f
19966,160009000000,"WELLS FARGO BANK, N.A.",6,366000,2018-12-01,2019-02-01,2,49,709,N,P,PU,1,P,NV,12,FRM,5.63,354,0,2049-01-01,X,t
19968,160014000000,PENNYMAC CORP.,5,254000,2018-12-01,2019-02-01,2,35,793,N,P,PU,1,S,AZ,25,FRM,4.88,353,0,2049-01-01,X,t
19969,160018000000,"WELLS FARGO BANK, N.A.",5,409000,2018-11-01,2019-01-01,2,44,783,Y,P,PU,1,P,FL,25,FRM,4.88,348,348,2048-12-01,0,f
19973,160041000000,"WELLS FARGO BANK, N.A.",5,129000,2019-02-01,2019-04-01,2,31,750,N,P,SF,1,P,NC,30,FRM,4.5,351,0,2049-03-01,X,t
19976,160046000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",4,390000,2019-03-01,2019-05-01,2,32,797,Y,P,SF,1,P,NY,25,FRM,4.38,352,351,2049-04-01,0,f
19977,160051000000,QUICKEN LOANS INC.,4,135000,2019-02-01,2019-04-01,1,26,817,N,R,PU,1,P,GA,25,FRM,4.38,351,344,2049-03-01,0,f
19978,160055000000,OTHER,5,107000,2018-12-01,2019-02-01,1,31,705,Y,P,SF,1,P,IN,30,FRM,5.13,349,346,2049-01-01,0,f
19979,160059000000,"LAKEVIEW LOAN SERVICING, LLC",5,304000,2018-12-01,2019-02-01,1,46,811,N,P,SF,1,P,CO,30,FRM,5.13,354,0,2049-01-01,X,t
19984,160078000000,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",5,401000,2018-12-01,2019-02-01,1,29,777,Y,P,CO,1,P,IL,25,FRM,5.38,349,348,2049-01-01,0,f
19985,160084000000,"WELLS FARGO BANK, N.A.",5,113000,2018-11-01,2019-01-01,1,21,777,N,P,SF,1,P,MN,30,FRM,4.88,348,341,2048-12-01,0,f
19989,160096000000,OTHER,5,264000,2019-03-01,2019-05-01,2,34,685,N,R,SF,1,P,MS,30,FRM,4.75,352,352,2049-04-01,0,f
19990,160096000000,QUICKEN LOANS INC.,5,157000,2019-01-01,2019-03-01,1,42,685,N,P,SF,1,P,NC,30,FRM,5.13,350,350,2049-02-01,0,f
19991,160101000000,"LAKEVIEW LOAN SERVICING, LLC",5,300000,2018-12-01,2019-02-01,2,48,689,N,P,PU,1,P,AZ,30,FRM,5.13,350,0,2049-01-01,X,t
19992,160109000000,"NATIONSTAR MORTGAGE, LLC",5,320000,2019-01-01,2019-03-01,2,31,783,N,P,SF,1,P,NY,30,FRM,4.88,350,349,2049-02-01,0,f
19996,160111000000,"WELLS FARGO BANK, N.A.",5,451000,2018-12-01,2019-02-01,1,42,800,Y,P,CO,1,P,MA,12,FRM,4.88,350,0,2049-01-01,X,t
19999,160119000000,QUICKEN LOANS INC.,5,124000,2018-12-01,2019-02-01,1,49,765,Y,P,SF,1,P,OK,25,FRM,4.99,349,349,2049-01-01,0,f
20000,160121000000,TRUIST BANK (FORMERLY SUNTRUST BANK),6,228000,2018-11-01,2019-01-01,1,37,726,Y,P,PU,1,P,TX,35,FRM,5.5,348,344,2048-12-01,0,f
20001,160128000000,OTHER,5,272000,2019-02-01,2019-04-01,2,35,794,N,P,SF,1,P,AL,30,FRM,4.75,351,351,2049-03-01,0,f
20002,160132000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,427000,2018-12-01,2019-02-01,2,45,806,N,P,SF,1,P,FL,30,FRM,4.75,349,348,2049-01-01,0,f
20003,160133000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",4,225000,2019-02-01,2019-04-01,1,38,791,Y,P,SF,1,P,GA,35,FRM,4.25,351,351,2049-03-01,0,f
20008,160148000000,OTHER,5,151000,2019-01-01,2019-03-01,2,25,766,Y,P,SF,1,P,NM,35,FRM,5.25,350,349,2049-02-01,0,f
20010,160154000000,OTHER,5,347000,2018-12-01,2019-02-01,2,37,779,Y,P,SF,1,P,FL,25,FRM,5.13,352,0,2049-01-01,X,t
20011,160161000000,"WELLS FARGO BANK, N.A.",5,239000,2018-11-01,2019-01-01,1,38,741,N,P,SF,1,P,OH,25,FRM,4.88,348,348,2048-12-01,0,f
20015,160178000000,PENNYMAC CORP.,5,437000,2019-01-01,2019-03-01,2,47,711,N,P,SF,1,P,UT,30,FRM,4.99,354,0,2049-02-01,X,t
20020,160199000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,4,244000,2019-03-01,2019-05-01,2,17,802,N,P,SF,1,P,KS,30,FRM,4.38,357,0,2049-04-01,X,t
20021,160203000000,"WELLS FARGO BANK, N.A.",5,311000,2018-12-01,2019-02-01,2,39,732,Y,P,SF,1,P,MI,25,FRM,5.25,349,0,2049-01-01,X,t
20022,160210000000,U.S. BANK N.A.,5,85000,2018-09-01,2018-11-01,1,36,735,Y,P,SF,1,P,IL,16,FRM,5.38,346,346,2048-10-01,0,f
20023,160214000000,OTHER,5,196000,2019-03-01,2019-05-01,1,39,703,Y,P,CO,1,P,CA,25,FRM,4.88,352,352,2049-04-01,0,f
20024,160214000000,OTHER,5,213000,2019-01-01,2019-03-01,3,43,816,Y,P,PU,1,P,WA,12,FRM,4.63,350,345,2049-02-01,0,f
20026,160215000000,"WELLS FARGO BANK, N.A.",4,263000,2019-01-01,2019-03-01,2,39,788,Y,P,PU,1,P,TX,25,FRM,4.13,350,350,2049-02-01,0,f
20033,160247000000,OTHER,5,637000,2019-02-01,2019-04-01,2,31,807,Y,P,SF,1,P,WA,30,FRM,4.75,355,0,2049-03-01,X,t
20037,160258000000,OTHER,5,689000,2019-02-01,2019-04-01,3,37,788,Y,P,SF,1,P,CA,30,FRM,4.88,355,0,2049-03-01,X,t
20038,160259000000,"WELLS FARGO BANK, N.A.",5,88000,2018-12-01,2019-02-01,1,35,682,Y,P,SF,1,P,IA,25,FRM,5.38,349,349,2049-01-01,0,f
20040,160269000000,"AMERIHOME MORTGAGE COMPANY, LLC",5,119000,2018-12-01,2019-02-01,2,36,762,Y,P,SF,1,P,AR,30,FRM,4.88,349,348,2049-01-01,0,f
20041,160276000000,OTHER,5,281000,2019-01-01,2019-03-01,2,42,702,Y,P,SF,1,P,KY,18,FRM,5.38,350,350,2049-02-01,0,f
20042,160276000000,OTHER,5,283000,2019-01-01,2019-03-01,2,40,807,N,P,PU,1,S,ID,25,FRM,4.75,350,350,2049-02-01,0,f
20047,160303000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,221000,2019-01-01,2019-03-01,1,33,733,Y,P,PU,1,P,TX,30,FRM,4.75,350,350,2049-02-01,0,f
20052,160320000000,OTHER,5,180000,2018-12-01,2019-02-01,1,50,784,Y,P,SF,1,P,TN,18,FRM,5.38,349,349,2049-01-01,0,f
20055,160328000000,PENNYMAC CORP.,5,203000,2018-11-01,2019-01-01,1,25,731,N,P,CO,1,P,WA,25,FRM,5.13,349,0,2048-12-01,X,t
20056,160335000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,261000,2019-02-01,2019-04-01,2,29,743,N,P,SF,1,P,MN,30,FRM,5.13,351,350,2049-03-01,0,f
20060,160356000000,"WELLS FARGO BANK, N.A.",5,223000,2018-10-01,2018-12-01,2,43,774,N,P,SF,1,P,MT,25,FRM,4.75,347,347,2048-11-01,0,f
20065,160365000000,"MOVEMENT MORTGAGE, LLC",5,233000,2019-02-01,2019-04-01,1,48,732,Y,P,SF,1,P,CA,30,FRM,4.75,351,351,2049-03-01,0,f
20066,160366000000,OTHER,5,267000,2019-02-01,2019-04-01,1,28,732,Y,P,SF,1,P,GA,35,FRM,4.88,351,351,2049-03-01,0,f
20067,160372000000,"WELLS FARGO BANK, N.A.",4,345000,2019-02-01,2019-04-01,1,38,813,N,P,PU,1,P,SC,25,FRM,4.38,351,351,2049-03-01,0,f
20071,160381000000,OTHER,5,130000,2018-11-01,2019-01-01,1,43,692,Y,P,SF,1,P,NC,25,FRM,5,348,348,2048-12-01,0,f
20075,160384000000,OTHER,5,364000,2018-11-01,2019-01-01,2,30,734,N,P,PU,1,P,MO,30,FRM,4.88,348,316,2048-12-01,0,f
20081,160397000000,PENNYMAC CORP.,5,480000,2018-12-01,2019-02-01,1,49,732,N,P,SF,1,P,CA,25,FRM,5.25,349,349,2049-01-01,0,f
20083,160399000000,"LAKEVIEW LOAN SERVICING, LLC",6,455000,2019-02-01,2019-04-01,2,27,738,Y,P,SF,1,P,CA,18,FRM,5.5,351,351,2049-03-01,0,f
20085,160407000000,"WELLS FARGO BANK, N.A.",5,299000,2019-01-01,2019-03-01,2,44,692,Y,P,SF,1,P,NY,25,FRM,4.88,350,350,2049-02-01,0,f
20086,160409000000,"WELLS FARGO BANK, N.A.",5,432000,2018-12-01,2019-02-01,1,35,768,N,P,SF,1,P,TX,25,FRM,4.75,349,345,2049-01-01,0,f
20089,160415000000,PENNYMAC CORP.,5,274000,2019-02-01,2019-04-01,1,20,771,Y,P,SF,1,P,AZ,30,FRM,4.63,351,350,2049-03-01,0,f
20091,160435000000,"WELLS FARGO BANK, N.A.",5,147000,2019-02-01,2019-04-01,1,35,731,Y,P,CO,1,P,NV,25,FRM,5.38,351,347,2049-03-01,0,f
20092,160435000000,"LAKEVIEW LOAN SERVICING, LLC",5,248000,2018-12-01,2019-02-01,1,41,796,Y,P,CO,1,P,AZ,25,FRM,5.25,352,0,2049-01-01,X,t
20093,160435000000,PENNYMAC CORP.,5,484000,2018-12-01,2019-02-01,1,39,770,N,P,PU,1,P,VA,30,FRM,4.5,349,349,2049-01-01,0,f
20094,160436000000,PENNYMAC CORP.,5,178000,2018-12-01,2019-02-01,1,39,796,N,P,SF,1,P,NC,25,FRM,4.88,349,349,2049-01-01,0,f
20098,160446000000,OTHER,5,403000,2019-01-01,2019-03-01,2,48,624,Y,P,PU,1,P,ID,18,FRM,4.63,350,350,2049-02-01,0,f
20103,160474000000,OTHER,5,124000,2019-01-01,2019-03-01,1,48,684,N,P,SF,1,P,MS,30,FRM,5.25,350,349,2049-02-01,0,f
20104,160483000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,154000,2018-12-01,2019-02-01,1,32,697,Y,P,CO,1,P,CA,25,FRM,5,349,344,2049-01-01,0,f
20107,160493000000,"WELLS FARGO BANK, N.A.",5,258000,2019-01-01,2019-03-01,2,46,761,Y,P,SF,1,P,TX,25,FRM,4.88,350,350,2049-02-01,0,f
20108,160500000000,DITECH FINANCIAL LLC,5,242000,2018-12-01,2019-02-01,1,38,799,Y,P,SF,1,P,PA,30,FRM,5.13,349,346,2049-01-01,0,f
20114,160513000000,OTHER,6,276000,2019-01-01,2019-03-01,1,43,697,Y,P,PU,1,P,NC,18,FRM,5.63,350,350,2049-02-01,0,f
20115,160522000000,"WELLS FARGO BANK, N.A.",5,222000,2019-02-01,2019-04-01,2,45,757,N,P,PU,1,P,TX,25,FRM,4.88,354,0,2049-03-01,X,t
20116,160526000000,FREEDOM MORTGAGE CORP.,5,315000,2018-12-01,2019-02-01,1,41,742,N,P,PU,1,P,MO,25,FRM,5,353,0,2049-01-01,X,t
20117,160528000000,PENNYMAC CORP.,5,467000,2018-11-01,2019-01-01,1,45,800,N,P,SF,1,P,UT,25,FRM,5.25,358,0,2048-12-01,X,t
20118,160530000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,109000,2019-02-01,2019-04-01,1,42,736,N,P,PU,1,S,FL,25,FRM,4.75,351,333,2049-03-01,0,f
20120,160532000000,OTHER,6,183000,2019-03-01,2019-04-01,2,34,774,Y,P,SF,1,P,IL,30,FRM,5.63,351,350,2049-03-01,0,f
20122,160535000000,PENNYMAC CORP.,5,272000,2018-12-01,2019-02-01,1,44,791,Y,P,SF,1,P,TN,30,FRM,4.88,349,0,2049-01-01,X,t
20128,160547000000,QUICKEN LOANS INC.,5,138000,2019-01-01,2019-03-01,1,40,794,N,P,PU,1,P,OK,30,FRM,4.88,350,350,2049-02-01,0,f
20134,160581000000,"WELLS FARGO BANK, N.A.",5,110000,2019-01-01,2019-03-01,1,50,762,Y,P,SF,1,P,PA,25,FRM,4.88,350,350,2049-02-01,0,f
20135,160585000000,OTHER,5,461000,2019-02-01,2019-04-01,1,32,796,Y,P,SF,1,P,CO,30,FRM,4.5,351,343,2049-03-01,0,f
20136,160586000000,"LAKEVIEW LOAN SERVICING, LLC",5,472000,2018-12-01,2019-02-01,1,45,703,Y,P,SF,1,P,CA,16,FRM,5,349,349,2049-01-01,0,f
20138,160588000000,OTHER,5,333000,2019-02-01,2019-04-01,1,24,780,Y,P,SF,1,P,NY,30,FRM,4.63,351,351,2049-03-01,0,f
20141,160592000000,PENNYMAC CORP.,5,707000,2019-01-01,2019-03-01,2,29,702,Y,P,SF,1,P,CA,25,FRM,4.75,350,350,2049-02-01,0,f
20142,160592000000,"WELLS FARGO BANK, N.A.",4,252000,2019-02-01,2019-04-01,2,45,679,N,P,SF,1,P,NE,25,FRM,4.38,351,351,2049-03-01,0,f
20144,160601000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,179000,2019-01-01,2019-03-01,2,50,765,Y,P,SF,1,P,WI,25,FRM,4.5,350,350,2049-02-01,0,f
20146,160608000000,PENNYMAC CORP.,5,209000,2018-12-01,2019-02-01,2,43,771,N,P,SF,1,P,MT,25,FRM,5.25,349,343,2049-01-01,0,f
20151,160613000000,OTHER,5,241000,2018-12-01,2019-02-01,2,39,702,Y,P,PU,1,P,TN,25,FRM,4.88,353,0,2049-01-01,X,t
20155,160623000000,"LAKEVIEW LOAN SERVICING, LLC",5,124000,2019-01-01,2019-03-01,2,44,714,N,P,PU,1,S,IL,12,FRM,5.25,350,350,2049-02-01,0,f
20157,160627000000,"WELLS FARGO BANK, N.A.",6,177000,2019-01-01,2019-03-01,2,41,708,Y,P,SF,1,P,FL,25,FRM,5.88,350,350,2049-02-01,0,f
20158,160627000000,OTHER,5,146000,2018-12-01,2019-02-01,1,44,702,Y,P,SF,1,P,IN,25,FRM,4.88,349,343,2049-01-01,0,f
20161,160628000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",5,322000,2019-01-01,2019-03-01,1,46,800,N,P,CO,1,P,FL,25,FRM,4.88,350,346,2049-02-01,0,f
20163,160632000000,QUICKEN LOANS INC.,4,450000,2019-01-01,2019-03-01,2,45,768,Y,P,SF,1,P,CA,25,FRM,4.25,350,350,2049-02-01,0,f
20164,160639000000,QUICKEN LOANS INC.,5,546000,2018-12-01,2019-02-01,2,31,735,Y,P,SF,1,P,NY,30,FRM,4.99,349,349,2049-01-01,0,f
20165,160654000000,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,5,180000,2019-03-01,2019-05-01,1,38,812,N,P,CO,1,P,OH,30,FRM,4.88,354,0,2049-04-01,X,t
20166,160655000000,"UNITED SHORE FINANCIAL SERVICES, LLC DBA UNITED WHOLESALE MORTGAGE",4,133000,2019-03-01,2019-05-01,1,37,708,Y,P,SF,1,P,AZ,25,FRM,4.38,352,352,2049-04-01,0,f
